id,question_text,difficulty,category
1,What is the capital of France?,Easy,Geography
2,Who wrote "Romeo and Juliet"?,Medium,Literature
3,What is the chemical symbol for water?,Hard,Science
4,How many continents are there on Earth?,Easy,Geography
5,Who painted the Mona Lisa?,Medium,Art
6,What is the square root of 64?,Hard,Mathematics
7,What year did World War II end?,Medium,History
8,What is the largest mammal in the world?,Easy,Science
9,Which planet is known as the Red Planet?,Easy,Astronomy
10,Who was the first man to walk on the moon?,Medium,History
11,What is the largest ocean in the world?,Easy,Geography
12,Who is known as the "Father of Geometry"?,Hard,Mathematics
13,What is the chemical symbol for oxygen?,Easy,Chemistry
14,What is the process by which plants make their own food called?,Medium,Biology
15,What is the capital of Japan?,Easy,Geography
16,What is the tallest mountain in the world?,Hard,Geography
17,What is the chemical symbol for gold?,Easy,Chemistry
18,What is the largest organ in the human body?,Medium,Biology
19,What is the boiling point of water in Celsius?,Easy,Science
20,What is the longest river in the world?,Medium,Geography
21,What is the square of 9?,Easy,Mathematics
22,What is the capital of Australia?,Medium,Geography
23,Who is known as the "Father of Modern Physics"?,Hard,Physics
24,What is the main ingredient in guacamole?,Easy,Cuisine
25,What is the currency of Japan?,Medium,Economics
26,What is the process by which plants release water vapor called?,Easy,Biology
27,Who discovered penicillin?,Medium,Medicine
28,What is the chemical symbol for sodium chloride?,Easy,Chemistry
29,What is the speed of light in a vacuum (in km/s)?,Hard,Physics
30,Who wrote "To Kill a Mockingbird"?,Medium,Literature
31,What is the largest planet in our solar system?,Medium,Astronomy
32,Who developed the theory of relativity?,Hard,Physics
33,What is the hardest natural substance on Earth?,Medium,Science
34,Who was the first President of the United States?,Easy,History
35,What is the main component of the sun?,Medium,Astronomy
36,What is the smallest unit of life?,Hard,Biology
37,What is the chemical formula for table salt?,Easy,Chemistry
38,Who painted the Sistine Chapel ceiling?,Medium,Art
39,What is the primary language spoken in Brazil?,Easy,Geography
40,What is the largest desert in the world?,Hard,Geography
41,What element does 'O' represent on the periodic table?,Easy,Chemistry
42,What is the capital of Italy?,Medium,Geography
43,What is the largest bone in the human body?,Medium,Biology
44,What is the powerhouse of the cell?,Easy,Biology
45,Who wrote "1984"?,Medium,Literature
46,What is the speed of sound in air (in m/s)?,Hard,Physics
47,Who is known as the "Maid of Orléans"?,Medium,History
48,What is the smallest prime number?,Easy,Mathematics
49,What is the chemical symbol for iron?,Medium,Chemistry
50,What is the largest type of deer?,Medium,Biology